"Accession_ID","Protein_Coverage","Number_of_Unique_Peptides","Number_of_Peptides","M197vsM398","M197vsM180","M197vsM194","M202vsM194","M418vsM194","M202vsM180","M202vsM398","M418vsM180","M418vsM398","Number_of_ratios","Ratio_mean","Ratio_SEM","pvalue","FDR"
"2751","Q6P0N0",1.06,1,1,0,0,0,0.815,0.46,1.582,1.936,0.887,1.091,6,1.13,0.22,0.818,0.898
"2752","Q6P0Q8",1.06,1,2,0.954,0.742,0.8,1.349,0.755,1.236,1.587,0.688,0.887,9,1,0.11,0.455,0.635
"2753","Q6P161",7.25,1,1,0.753,0.971,1.311,1.203,0.919,0.88,0.682,0.669,0.521,9,0.88,0.09,0.08,0.212
"2754","Q6P1A2",2.05,1,1,0.849,0.955,0.932,1.439,1.315,1.457,1.295,1.325,1.182,9,1.19,0.08,0.064,0.185
"2755","Q6P1J9",25.24,13,13,0.947,0.999,1.027,1.243,0.958,1.059,0.95,0.954,0.816,9,0.99,0.04,0.411,0.592
"2756","Q6P1K2",12.68,2,2,0,0,0,0,1.234,0,0,0.912,1.028,3,1.06,0.09,0.548,0.713
"2757","Q6P1L8",29.66,4,4,1.038,1.083,0.945,0.761,0.773,1.016,0.948,0.797,0.88,9,0.92,0.04,0.031,0.12
"2758","Q6P1M0",2.64,1,1,0.973,0.934,1.087,1.195,1.334,1.015,1.057,1.126,1.178,9,1.1,0.04,0.022,0.096
"2759","Q6P1N0",3.47,3,3,0,0,0,0.784,0,0.515,0.797,0,0,3,0.7,0.09,0,0
"2760","Q6P1N9",12.79,4,4,0.838,0.933,1.046,1.092,1.052,1.163,0.852,1.007,0.911,9,0.99,0.04,0.225,0.4
"2761","Q6P1X6",12.5,2,2,0.73,1.383,1.086,1.299,1,1.635,0.862,1.253,0.664,9,1.1,0.11,0.731,0.84
"2762","Q6P2C8",5.79,2,2,0,0,1.42,0,1.182,0,0,0,0,2,0,0,0,0
"2763","Q6P2E9",12.63,16,16,0.982,0.929,0.908,0.966,0.94,0.983,0.935,0.978,0.956,9,0.95,0.01,0.001,0.011
"2764","Q6P2H3",2.62,2,2,0,0,0,0,1.128,0,0,1.702,0,2,0,0,0,0
"2765","Q6P2Q9",21.41,45,45,0.873,0.995,0.702,0.795,0.717,1.113,0.961,0.99,0.852,9,0.89,0.05,0.007,0.049
"2766","Q6P3X3",1.66,1,1,0,0,0,0.867,1.056,0.588,0.806,0.712,0.981,6,0.84,0.07,0.12,0.27
"2767","Q6P4A7",3.56,1,1,0.63,0.585,1.02,2.392,1.406,1.356,1.458,0.793,0.857,9,1.17,0.19,0.932,0.964
"2768","Q6P4E1",12.47,4,4,0,0,1.108,0,0,0,0,0,0,1,0,0,0,0
"2769","Q6P4I2",4.76,2,2,0,0,0,0,0,1.021,0,1.74,0,2,0,0,0,0
"2770","Q6P587",37.05,6,6,1.029,1.632,1.771,1.237,1.394,1.328,0.717,1.546,0.88,9,1.28,0.12,0.144,0.301
"2771","Q6P5R6",25.41,3,3,1.155,0.782,1.302,1.207,1.5,0.717,1.057,0.886,1.314,9,1.1,0.09,0.084,0.218
"2772","Q6P6B7",3.88,1,1,0,0,0,0,0.997,0,0,0,1.41,2,0,0,0.184,0.352
"2773","Q6P9B6",2.19,1,1,0.928,0.894,0.666,0.768,0.822,1.02,1.057,1.085,1.13,9,0.93,0.05,0.253,0.429
"2774","Q6P9B9",2.85,3,3,0.879,0.763,1.193,1.969,0.793,1.245,1.432,0.499,0.576,9,1.04,0.16,0.423,0.606
"2775","Q6P9F5",3.1,1,1,0.923,1.397,1.125,1.013,1.041,1.243,0.821,1.271,0.843,9,1.08,0.07,0.773,0.867
"2776","Q6PCB6",3.34,1,1,1.146,1.237,1.83,2.44,2.078,1.63,1.508,1.381,1.284,9,1.61,0.14,0.001,0.018
"2777","Q6PCB7",4.33,2,2,0.879,1.26,1.135,1.157,1.287,1.27,0.885,1.406,0.984,9,1.14,0.06,0.147,0.304
"2778","Q6PCB8",2.75,1,1,0,0,0,0,0,0,0,0.675,0.339,2,0,0,0.061,0.182
"2779","Q6PD62",5.71,7,7,1.04,1.148,0.922,0.866,0.852,1.118,1.005,1.029,0.973,9,0.99,0.03,0.455,0.635
"2780","Q6PEY1",14.47,2,2,0.728,0.693,1.589,2.06,1.682,0.754,0.918,0.579,0.76,9,1.08,0.18,0.945,0.971
"2781","Q6PGP7",3.13,4,4,1.241,0.693,0.661,0.883,0.815,0.853,1.478,0.878,1.508,9,1,0.11,0.878,0.934
"2782","Q6PI48",13.8,7,8,0.681,0.823,0.671,0.78,0.657,0.954,0.785,0.855,0.674,9,0.76,0.03,0,0.001
"2783","Q6PI78",10,2,2,0.837,1.295,0.731,0.545,0.619,0.92,0.67,1.04,0.761,9,0.82,0.08,0.026,0.106
"2784","Q6PII3",7.71,3,3,1.429,0,2.149,2.028,0,0,1.331,0,0,4,1.73,0.21,0.023,0.098
"2785","Q6PIL6",2.8,1,1,1.01,0.627,0.722,0.906,1.047,0.777,1.251,0.894,1.446,9,0.96,0.09,1,1
"2786","Q6PIU2",10.05,3,3,0.967,1.421,0.846,0.292,0.406,0.484,0.329,0.671,0.458,9,0.65,0.12,0.014,0.075
"2787","Q6PJG2",2.49,2,2,1.246,1.258,1.095,0.98,0.95,1.113,1.101,1.073,1.066,9,1.1,0.03,0.029,0.114
"2788","Q6PJG6",2.68,2,2,1.619,0.835,0.539,0.922,0.817,1.411,2.733,1.245,2.422,9,1.39,0.25,0.209,0.383
"2789","Q6PJT7",16.17,10,10,0.941,1.479,1.295,1.236,0.933,1.256,0.831,0.963,0.663,9,1.07,0.09,0.772,0.867
"2790","Q6PK04",12.8,3,3,0.656,0.982,0,0.713,1.484,0.942,0.709,1.379,1.042,8,0.99,0.11,0.708,0.827
"2791","Q6PK18",6.27,2,2,0.953,1.398,0.926,0.83,0.905,1.238,0.843,1.344,0.919,9,1.04,0.07,0.879,0.935
"2792","Q6PKG0",19.34,18,18,0.979,0.797,0.909,1.097,0.85,0.994,1.074,0.834,0.972,9,0.95,0.04,0.12,0.271
"2793","Q6PKX4",3.93,1,1,0,0,0,0,1.346,0,0,0.942,0,2,0,0,0,0
"2794","Q6PL24",14.46,3,3,0.925,0.619,0.859,0.868,0.662,0.618,0.922,0.469,0.703,9,0.74,0.05,0.004,0.031
"2795","Q6PML9",3.7,2,2,0.943,1.243,0.735,0.682,0.772,1.139,0.863,1.283,0.977,9,0.96,0.07,0.307,0.489
"2796","Q6PRD1",0.76,1,1,0.784,0.74,2.682,1.782,3.212,0.486,0.514,0.478,0.387,9,1.23,0.36,0.707,0.827
"2797","Q6RFH5",10.13,3,3,0.854,0.947,0.911,0.86,1.107,0.883,0.796,1.131,1.024,9,0.95,0.04,0.291,0.472
"2798","Q6S8J3",8.28,2,9,0.986,0.723,0.679,0.888,1.023,0.934,1.273,1.071,1.466,9,1,0.08,0.789,0.879
"2799","Q6STE5",17.6,5,6,1.059,1.16,1.68,1.306,1.417,0.991,0.917,0.877,0.952,9,1.15,0.09,0.158,0.319
"2800","Q6SZW1",2.62,1,2,0.797,1.061,1.134,0.981,1.315,0.906,0.68,1.209,0.912,9,1,0.07,0.829,0.906
"2801","Q6UB35",12.78,12,12,0.955,0.767,0.755,0.697,0.656,0.688,0.869,0.617,0.801,9,0.76,0.04,0,0.01
"2802","Q6UN15",22.05,9,9,0.917,1.431,1.508,1.264,1.195,1.168,0.785,1.078,0.671,9,1.11,0.09,0.823,0.902
"2803","Q6UVK1",2.89,5,5,0.66,0.695,0.871,0.846,1.118,0.599,0.627,0.788,0.828,9,0.78,0.05,0.005,0.039
"2804","Q6UW02",4.76,2,2,0,0,0,2.302,0,0,1.894,0,0,2,0,0,0,0
"2805","Q6UW56",3.49,1,1,1.64,1.688,1.195,0.712,0,0.994,0.965,0,0,6,1.2,0.16,0.371,0.553
"2806","Q6UW63",7.37,4,4,1.473,2.327,1.638,1.287,1.421,1.867,1.181,1.883,1.277,9,1.59,0.12,0.001,0.012
"2807","Q6UWE0",1.24,1,1,0,0,0,0,1.247,0,0,0.62,0,2,0,0,0,0
"2808","Q6UWI4",4.75,1,1,1.41,1.202,0,0,0,1.537,1.802,1.036,1.22,6,1.37,0.11,0.022,0.097
"2809","Q6UWJ1",5.17,3,3,1.041,1.263,0.686,0.666,0.638,1.033,0.91,0.984,0.79,9,0.89,0.07,0.064,0.186
"2810","Q6UWZ7",2.2,1,1,0.794,0.991,0.872,0.538,0.672,0.605,0.484,0.751,0.604,9,0.7,0.05,0.001,0.017
"2811","Q6UX04",13.56,7,7,1.153,1.229,1.204,0.939,0.997,1.127,1.077,1.119,1.098,9,1.1,0.03,0.011,0.064
"2812","Q6UXH1",12.46,5,5,0.83,1.037,1.152,1.005,1.168,0.852,0.682,0.925,0.597,9,0.92,0.07,0.133,0.287
"2813","Q6UXK5",12.43,7,7,1.01,1.472,2.342,2.3,1.905,1.429,0.979,1.067,0.672,9,1.46,0.2,0.185,0.353
"2814","Q6UXN9",13.42,3,4,0.977,0.963,0.84,0.932,0.91,1.056,1.071,1.026,1.058,9,0.98,0.03,0.448,0.63
"2815","Q6UXV4",21.27,5,5,1.093,1.55,1.052,1.204,0.727,1.182,0.765,1.007,0.708,9,1.03,0.09,0.604,0.756
"2816","Q6VMQ6",11.34,8,8,1.001,1.153,0.974,1.035,0.795,1.444,1.186,1.178,1.01,9,1.09,0.06,0.48,0.657
"2817","Q6VN20",4.84,3,3,0,0,0,0.833,0.697,0,0.875,0,0.56,4,0.74,0.07,0.016,0.08
"2818","Q6VY07",5.92,5,5,1.746,0.849,0.788,0.871,1.229,0.825,1.694,1.303,2.688,9,1.33,0.21,0.066,0.191
"2819","Q6W2J9",2.05,2,2,1.527,1.573,1.019,0.785,0.877,1.198,1.162,1.332,1.297,9,1.2,0.09,0.076,0.206
"2820","Q6WCQ1",12.88,11,11,1.048,1.172,0.931,0.849,1.106,1.152,1.144,1.168,1.253,9,1.09,0.04,0.078,0.21
"2821","Q6WRX3",1.32,1,1,0.899,1.185,1.392,1.515,1.46,1.275,0.967,1.222,0.931,9,1.21,0.08,0.079,0.211
"2822","Q6XE24",13.04,2,5,0.725,0.89,1.405,1.162,1.505,0.735,0.684,0.904,0.767,9,0.98,0.1,0.589,0.745
"2823","Q6XQN6",12.08,7,7,0.481,0.864,0.865,0.562,1.456,0.528,0.312,1.816,0.818,9,0.86,0.16,0.221,0.397
"2824","Q6XZF7",4.57,6,6,1.009,0.729,0.558,0.652,0.831,0.958,1.169,1.138,0.954,9,0.89,0.07,0.126,0.278
"2825","Q6Y7W6",19.48,15,18,1.122,1,1.034,1.019,1.023,1.045,1.255,1.111,1.135,9,1.08,0.03,0.008,0.052
"2826","Q6YN16",21.53,8,8,0.827,1.13,0.988,0.904,0.963,1.02,0.729,1.042,0.721,9,0.92,0.05,0.059,0.178
"2827","Q6YP21",20.26,9,9,0.759,1.18,1.166,1.487,1.219,1.366,0.975,1.215,0.765,9,1.13,0.08,0.657,0.795
"2828","Q6ZMI0",9.23,7,7,1.352,1.017,0.766,0.676,0.785,0.887,1.179,1.024,1.367,9,1.01,0.08,0.809,0.891
"2829","Q6ZMU5",19.08,8,8,0.508,0.633,1.82,2.466,2.605,0.861,0.635,0.951,0.72,9,1.24,0.28,0.909,0.95
"2830","Q6ZMZ3",15.9,14,14,0.892,1.107,1.028,1.115,0.899,1.516,0.994,1.139,0.79,9,1.05,0.07,0.54,0.707
"2831","Q6ZN17",36,7,7,1.032,1.04,1.074,1.174,1.06,1.146,1.088,1.018,1.082,9,1.08,0.02,0.001,0.015
"2832","Q6ZNA5",4.05,3,3,0.933,1.512,1.078,1.55,1.109,2.149,1.15,1.308,0.611,9,1.27,0.15,0.669,0.803
"2833","Q6ZNB6",2.63,3,3,0.649,0.522,0.569,0,1.352,0,0,1.221,1.522,6,0.97,0.18,0.81,0.891
"2834","Q6ZP82",3.24,4,4,1.618,0,0,0,0,0.69,0.811,0.554,1.094,5,0.95,0.19,0.872,0.931
"2835","Q6ZQY3",2.69,1,1,0,0,0,0,0,0,0.77,0,0.454,2,0,0,0.069,0.195
"2836","Q6ZRR7",0.96,1,1,1.475,2.541,7.157,4.52,2.598,1.586,0.92,0.907,0.528,9,2.47,0.71,0.147,0.304
"2837","Q6ZRV2",3.48,3,3,1.762,0.888,0.571,0.723,0.491,1.11,2.201,0.751,1.495,9,1.11,0.2,0.933,0.964
"2838","Q6ZS11",3.18,1,1,0,0,0,0,0,0,0,1.827,0,1,0,0,0,0
"2839","Q6ZS17",0.74,1,1,1.195,1.074,0.931,0.739,0.84,0.843,0.937,0.953,1.064,9,0.95,0.05,0.512,0.684
"2840","Q6ZSC3",2.52,1,1,0,0,0,0,0,0,0,1.038,0.367,2,0,0,0.203,0.376
"2841","Q6ZSZ5",4.01,2,4,0.9,0.853,1.471,1.293,1.307,1.394,1.468,1.162,1.23,9,1.23,0.08,0.026,0.106
"2842","Q6ZU35",4.79,4,4,0,0,0,0.597,1.544,0.413,0,0.683,0,4,0.81,0.25,0.659,0.796
"2843","Q6ZU65",2.3,3,3,0.923,1.868,1.131,1.348,0.982,2.2,1.086,1.594,0.79,9,1.32,0.16,0.251,0.428
"2844","Q6ZVC0",1.19,1,1,0.781,0.884,0.828,0.865,1.033,0.914,0.806,1.086,0.962,9,0.91,0.03,0.035,0.129
"2845","Q6ZVM7",11.05,3,4,0.694,0.847,0.926,1.252,1.44,1.132,0.927,1.294,1.065,9,1.06,0.08,0.705,0.826
"2846","Q6ZW33",1.58,1,1,2.865,2.531,1.472,0.759,0.649,1.289,1.458,1.097,1.247,9,1.49,0.25,0.12,0.271
"2847","Q6ZXV5",4.04,3,5,0.876,1.118,1.022,0.955,0.928,1.047,0.782,1.013,0.76,9,0.94,0.04,0.067,0.192
"2848","Q702N8",27.08,37,37,0.467,0.692,2.767,2.21,3.425,0.627,0.42,1.15,0.789,9,1.39,0.37,0.744,0.85
"2849","Q709C8",2.69,7,8,0.897,0.639,0.696,0.788,0.74,0.889,0.908,0.718,0.941,9,0.8,0.04,0.002,0.022
"2850","Q70CQ3",1.93,1,1,0.78,0.711,0.693,0.665,0.788,0.675,0.739,0.795,0.875,9,0.75,0.02,0,0.004
"2851","Q70E73",1.76,2,2,1.255,1.281,1.747,1.95,1.948,1.413,1.383,1.405,1.381,9,1.53,0.09,0,0.005
"2852","Q70IA6",4.64,1,1,0,0,0,1.226,1.705,0.612,0,0.846,0,4,1.1,0.24,0.448,0.629
"2853","Q70UQ0",33.43,13,13,1.385,1.58,1.406,0.948,0.991,0.954,0.879,1.114,0.976,9,1.14,0.08,0.152,0.312
"2854","Q70Z53",4.44,1,1,0,0,0,2.149,0.872,1.203,2.167,0.486,0.879,6,1.29,0.29,0.763,0.863
"2855","Q712K3",7.56,2,2,0.955,0.959,1.035,0.942,1.389,0.988,1.107,1.236,1.333,9,1.1,0.06,0.051,0.161
"2856","Q71RC2",7.87,4,4,0.971,1.364,1.58,1.195,1.666,0.99,0.838,1.414,1.01,9,1.23,0.1,0.055,0.17
"2857","Q71RG4",3.12,1,1,0,0.74,0.767,0.679,0.974,0.647,0,0.923,0,6,0.79,0.05,0.035,0.128
"2858","Q71U36",49.45,4,18,1.205,0.807,0.774,0.868,1.13,0.913,1.396,1.112,1.641,9,1.09,0.1,0.229,0.404
"2859","Q75N03",8.76,3,3,0.815,0.941,1.25,0.872,1.339,0.693,0.6,1.059,0.921,9,0.94,0.08,0.513,0.685
"2860","Q75QN2",0.8,1,1,0.623,1.095,0.573,0.757,0.714,1.431,0.813,1.343,0.766,9,0.9,0.1,0.04,0.14
"2861","Q765P7",10.04,5,5,1.15,1.047,1.306,1.251,1.343,0.991,1.087,1.059,1.167,9,1.16,0.04,0.001,0.014
"2862","Q76FK4",4.03,4,4,0.911,1.003,1.026,1.033,0.991,0.999,0.906,0.953,0.868,9,0.97,0.02,0.058,0.175
"2863","Q76I76",1.69,2,2,0,0,0,1.211,0,1.158,1.121,0,0,3,1.16,0.03,0,0
"2864","Q7KYR7",3.23,1,2,0.891,1.087,1.662,1.733,1.61,1.121,0.918,1.036,0.852,9,1.21,0.12,0.223,0.399
"2865","Q7KZ85",16.28,21,21,1.202,1.112,1.018,1.09,1.065,0.957,1.005,1.022,1.067,9,1.06,0.02,0.006,0.041
"2866","Q7KZF4",34.18,29,29,0.986,0.793,0.762,0.895,0.985,0.794,1.046,0.944,1.218,9,0.94,0.05,0.577,0.737
"2867","Q7KZI7",6.47,2,4,1.037,0.801,0.79,0.848,0.924,0.85,1.099,0.921,1.197,9,0.94,0.05,0.521,0.691
"2868","Q7KZN9",1.95,1,1,0.791,0.938,0.923,1.123,0.852,1.129,0.951,0.852,0.721,9,0.92,0.05,0.016,0.08
"2869","Q7L014",26.87,28,28,1.037,0.922,0.88,0.832,0.799,0.92,1,0.891,1.007,9,0.92,0.03,0.04,0.14
"2870","Q7L099",11.51,4,5,1.174,0.849,1.93,0,0,0,0,0,0,3,1.32,0.32,0.461,0.64
"2871","Q7L0Y3",16.87,7,7,0.983,0.96,0.886,0.98,0.79,1.091,0.952,0.738,0.855,9,0.92,0.04,0.008,0.052
"2872","Q7L190",15.46,3,3,1.55,1.028,1.469,1.997,0.854,1.381,2.08,0.587,0.889,9,1.32,0.17,0.316,0.498
"2873","Q7L1Q6",26.25,10,14,1.483,1.083,0.77,0.866,0.812,1.092,1.506,1.094,1.466,9,1.13,0.1,0.224,0.399
"2874","Q7L2E3",6.95,6,7,0.929,0.941,0.806,0.962,0.801,1.037,1.079,0.86,0.961,9,0.93,0.03,0.029,0.115
"2875","Q7L2Z9",8.58,2,2,1.318,1.548,1.449,1.083,0.849,1.144,0.973,0.892,0.762,9,1.11,0.09,0.64,0.784
"2876","Q7L311",4.43,3,3,0.996,1.425,1.347,1.161,1.408,1.119,0.864,1.407,1.087,9,1.2,0.07,0.025,0.103
"2877","Q7L4I2",7.14,3,3,1.461,0,1.169,1.314,0,0,1.622,0,0,4,1.39,0.1,0.02,0.092
"2878","Q7L523",2.88,1,1,1.202,0.862,0.908,0.742,0.886,0.695,0.969,0.826,1.157,9,0.92,0.06,0.422,0.604
"2879","Q7L576",8.62,10,10,1.033,0.724,0.65,0.708,0.633,0.778,1.044,0.801,1.085,9,0.83,0.06,0.053,0.166
"2880","Q7L592",5.67,2,2,1.455,1.14,0.699,0.287,0.434,0.463,0.59,0.695,0.891,9,0.74,0.12,0.076,0.207
"2881","Q7L5Y9",5.3,2,2,0.972,0.878,0.977,0.813,1.339,0.957,0.952,1.183,1.315,9,1.04,0.06,0.36,0.543
"2882","Q7L775",7.91,3,4,0.698,0.849,0.689,0.808,0.878,0.984,0.808,0.75,0.663,9,0.79,0.03,0,0.002
"2883","Q7L7X3",2.3,2,2,0.624,0.787,0.881,1.552,1.566,1.371,1.085,1.376,1.094,9,1.15,0.11,0.526,0.695
"2884","Q7L8C5",2.58,1,1,0,0,0,1.692,1.403,0,0.835,0,0.692,4,1.16,0.24,0.977,0.989
"2885","Q7L8L6",8.12,5,5,0.86,1.144,0.857,0.8,0.683,1.143,0.859,0.874,0.655,9,0.88,0.06,0.007,0.045
"2886","Q7L9L4",5.09,1,1,1.611,0.996,0.759,0.654,0.799,0.848,1.37,1.031,1.673,9,1.08,0.13,0.436,0.619
"2887","Q7LBC6",8.01,12,12,1.182,0.744,0.698,0.753,0.821,0.929,1.162,0.857,1.229,9,0.93,0.07,0.432,0.616
"2888","Q7LBR1",4.52,1,1,0.626,0.646,1.15,2.43,1.978,1.35,1.306,1.093,1.062,9,1.29,0.2,0.371,0.553
"2889","Q7LG56",11.11,3,4,1.06,0.884,1.001,1.06,1.022,0.77,0.911,0.769,1.045,9,0.95,0.04,0.445,0.627
"2890","Q7LGA3",15.17,5,5,0.92,1.13,1.065,1.089,1.114,1.145,0.917,1.057,0.894,9,1.04,0.03,0.799,0.885
"2891","Q7RTP6",1.4,1,3,0,0,0,0,1.25,0,0,1.205,2.042,3,1.5,0.27,0.051,0.162
"2892","Q7RTR2",1.41,1,1,0,0,0,0,0,0,0,2.024,1.961,2,0,0,0.001,0.011
"2893","Q7RTV0",20,3,3,0.952,1.335,1.292,1.178,0.86,1.204,0.887,1.044,0.649,9,1.04,0.08,0.651,0.791
"2894","Q7Z2K6",7.08,6,6,1.173,1.395,0.9,0.773,0.441,1.422,0.898,1.118,0.646,9,0.97,0.11,0.195,0.366
"2895","Q7Z2T5",10.64,5,5,3.517,2.166,1.098,0.734,0.847,1.43,2.32,1.643,2.677,9,1.83,0.31,0.018,0.085
"2896","Q7Z2W4",13.3,9,9,0.86,0.708,0.834,1.031,0.955,0.958,1.066,0.911,1.034,9,0.93,0.04,0.137,0.291
"2897","Q7Z2W9",24.88,4,4,1.188,1.097,0.679,0.6,0.651,1.039,0.942,1.158,1.06,9,0.93,0.08,0.308,0.49
"2898","Q7Z2Y8",0.33,1,1,0.883,1.092,1.486,1.817,2.112,1.32,1.066,1.526,1.239,9,1.39,0.13,0.014,0.074
"2899","Q7Z304",1.31,1,1,0,0,0,1.45,0.873,0,1.031,0,0.62,4,0.99,0.17,0.459,0.639
"2900","Q7Z3B4",20.32,10,10,1.176,1.043,0.993,0.854,0.782,0.971,0.971,0.805,0.833,9,0.94,0.04,0.094,0.234
"2901","Q7Z3C6",2.62,1,2,0.914,0.777,0.628,0.756,0.743,0.926,1.087,0.904,1.067,9,0.87,0.05,0.058,0.175
"2902","Q7Z3D6",3.25,2,2,3.851,0.779,1.005,1.01,0.986,0.808,3.412,0.752,3.728,9,1.81,0.46,0.074,0.203
"2903","Q7Z3E2",6.12,4,4,0.851,0.694,1.362,1.068,1.288,0.923,1.159,1.107,1.397,9,1.09,0.08,0.197,0.368
"2904","Q7Z3E5",5.14,4,4,1.111,0.684,0.603,0.751,0.667,0.841,1.365,0.744,1.213,9,0.89,0.09,0.274,0.453
"2905","Q7Z3K3",11.77,12,12,0.996,0.948,0.758,0.964,0.877,1.095,1.233,1.053,1.098,9,1,0.05,0.848,0.917
"2906","Q7Z3T8",4.03,5,5,1.153,1.327,1.031,0.727,1.039,1.378,0.689,1.975,1.02,9,1.15,0.13,0.598,0.752
"2907","Q7Z401",0.54,1,1,0.254,0.543,5.638,7.823,10.623,0.745,0.347,1.006,0.471,9,3.05,1.31,0.699,0.821
"2908","Q7Z417",21.58,11,11,0.834,0.919,1.048,1.078,1.211,0.952,0.888,1.054,1.006,9,1,0.04,0.984,0.992
"2909","Q7Z422",7.89,1,1,1.245,1.287,1.023,1.123,1.243,1.396,1.349,1.538,1.493,9,1.3,0.06,0,0.01
"2910","Q7Z434",17.04,6,6,0.794,1.155,0.889,0.816,0.909,1.145,0.787,0.994,0.774,9,0.92,0.05,0.016,0.081
"2911","Q7Z460",12.16,17,17,1.09,0.965,0.912,0.931,1.1,1.09,1.306,1.067,1.34,9,1.09,0.05,0.086,0.22
"2912","Q7Z478",4.97,6,6,0.834,0.824,0.846,1.055,1.089,0.911,1.096,1.274,0.975,9,0.99,0.05,0.809,0.891
"2913","Q7Z4H3",11.76,2,2,0.454,0.546,0.582,1.131,1.463,1.049,0.871,1.35,1.126,9,0.95,0.12,0.433,0.617
"2914","Q7Z4H7",3.98,3,3,1.285,0.825,0.741,0.687,0.795,0.757,1.177,0.871,1.361,9,0.94,0.09,0.794,0.882
"2915","Q7Z4H8",17.16,9,9,1.074,1.491,1.179,1.04,1.035,1.254,0.917,1.401,0.937,9,1.15,0.07,0.14,0.295
"2916","Q7Z4Q2",2.5,1,2,0.898,0.62,0.713,0.747,1.072,0.641,0.929,0.916,1.333,9,0.87,0.08,0.358,0.542
"2917","Q7Z4V5",14.46,7,9,1.115,1.462,1.26,1.081,1.074,1.205,1.033,1.138,0.957,9,1.15,0.05,0.04,0.141
"2918","Q7Z4W1",17.62,4,4,0.69,1.129,1.259,1.548,1.065,1.41,0.838,0.967,0.586,9,1.05,0.11,0.483,0.66
"2919","Q7Z5G4",22.63,3,3,0.854,1.077,1.105,1.087,0.975,1.036,0.948,0.874,0.827,9,0.98,0.04,0.225,0.399
"2920","Q7Z5K2",7.31,7,7,1.809,1.487,1.582,0.933,0.896,1.12,0.901,0.986,1.152,9,1.21,0.11,0.115,0.263
"2921","Q7Z5L9",20.61,7,8,1.107,1.001,0.989,0.756,1.064,0.756,0.835,1.058,1.052,9,0.96,0.05,0.686,0.814
"2922","Q7Z5P9",0.74,3,3,0.65,1.222,1.164,1.4,1.389,1.452,0.772,1.433,0.765,9,1.14,0.11,0.818,0.898
"2923","Q7Z5U6",1.96,1,1,1.876,0.937,1.584,2.357,1.835,1.378,2.757,1.067,2.145,9,1.77,0.2,0.001,0.019
"2924","Q7Z6B7",3.13,1,3,0.99,0.686,0.91,0.682,0.659,0.508,0.732,0.488,0.707,9,0.71,0.05,0.001,0.017
"2925","Q7Z6E9",8.76,12,12,1.037,1.205,1.083,0.937,0.83,1.069,0.859,0.867,0.78,9,0.96,0.05,0.156,0.316
"2926","Q7Z6G8",1.6,1,2,3.312,0,2.005,0.777,3.788,0,1.267,0,6.174,6,2.89,0.81,0.016,0.08
"2927","Q7Z6I8",22.34,3,3,0,0,0,0,2.33,0,0,0,0.937,2,0,0,0.496,0.669
"2928","Q7Z6J9",1.9,1,1,0,0,0,0,1.609,0,0,1.888,0.901,3,1.47,0.29,0.301,0.482
"2929","Q7Z6K5",14.16,3,3,1.003,0.931,1.308,1.371,1.194,0.902,0.937,1.072,0.976,9,1.08,0.06,0.17,0.334
"2930","Q7Z6M1",2.96,1,1,1.149,1.396,1.075,0.92,1.015,1.18,0.971,1.295,1.07,9,1.12,0.05,0.072,0.2
"2931","Q7Z6Z7",12.51,43,43,0.893,0.791,0.784,0.818,0.899,0.887,1.03,0.931,1.083,9,0.9,0.03,0.068,0.193
"2932","Q7Z739",12.31,3,6,1.228,0.942,0.91,1.034,1.065,0.954,1.26,1.128,1.712,9,1.14,0.08,0.054,0.169
"2933","Q7Z7B0",12.86,14,15,0.773,0.98,3.94,3.976,5.703,1.206,0.857,1.436,0.898,9,2.2,0.61,0.114,0.262
"2934","Q7Z7F7",26.56,3,3,0.99,0.964,0.986,1.037,1.048,1.041,1.018,0.929,1.156,9,1.02,0.02,0.31,0.491
"2935","Q7Z7H5",22.47,4,6,0.962,1.246,1.183,1.078,0.91,1.179,0.899,0.935,0.723,9,1.01,0.06,0.45,0.632
"2936","Q7Z7H8",11.11,2,2,0.632,0.557,0.907,1.379,1.375,0.836,0.948,0.83,0.945,9,0.93,0.09,0.383,0.564
"2937","Q7Z7K0",20.75,3,3,1.088,1.529,1.3,0.994,0.954,1.136,0.747,1.107,0.769,9,1.07,0.08,0.933,0.964
"2938","Q7Z7K6",17.45,4,4,1.033,1.197,1.462,1.322,1.131,1.187,1.251,0.812,0.791,9,1.13,0.07,0.4,0.58
"2939","Q7Z7M0",0.84,2,2,1.485,1.629,1.382,0.936,1.039,1.09,0.992,1.204,1.101,9,1.21,0.08,0.028,0.111
"2940","Q86SF2",6.54,4,4,1.105,0.976,1.212,0.724,0.941,0.392,0.478,0.97,1.19,9,0.89,0.1,0.552,0.717
"2941","Q86SQ0",5.03,5,6,0.81,0.686,1.291,1.081,1.54,0.941,0.669,1.276,1.304,9,1.07,0.1,0.584,0.741
"2942","Q86SQ7",4.07,3,3,0.679,1.073,0.774,0.849,0.809,1.163,0.736,1.103,0.701,9,0.88,0.06,0.009,0.054
"2943","Q86SX6",15.92,2,2,0.892,1.684,1.421,0.702,0.842,0.822,0.435,0.981,0.521,9,0.92,0.13,0.212,0.386
"2944","Q86T24",2.68,1,1,0.452,0.872,3.659,3.543,6.266,0.829,0.435,1.341,0.767,9,2.02,0.67,0.421,0.604
